,Gross domestic product (GDP) in current prices in billion U.S. dollars
1980,89.41
1981,93.15
1982,85.9
1983,96.21
1984,84.84
1985,64.48
1986,73.4
1987,96.53
1988,104.01
1989,108.07
1990,126.03
1991,135.23
1992,146.97
1993,147.24
1994,153.57
1995,171.74
1996,163.34
1997,169
1998,152.88
1999,151.43
2000,151.85
2001,135.53
2002,129.39
2003,197.02
2004,256.19
2005,288.75
2006,304.06
2007,332.65
2008,316.49
2009,331.18
2010,417.31
2011,458.71
2012,434.4
2013,400.88
2014,381.2
2015,346.66
2016,323.49
2017,381.32
2018,405.09
2019,389.25
2020,337.88
2021,419.88
2022,407.43
2023,381.33
2024,401.08
2025,427.14
2026,479.96
2027,494.41
2028,513.06
2029,533.31
2030,555.26
2031,577.97
